Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-4800,0,"0x0000",0,-4800.000,0.000,-4800.000,0.000
-4799,2,"0x0002",2,-4799.414,0.414,-4798.828,-0.172
-4798,4,"0x0004",2,-4798.242,0.242,-4797.656,-0.344
-4797,6,"0x0006",2,-4797.070,0.070,-4796.484,-0.516
-4796,7,"0x0007",1,-4796.484,0.484,-4795.898,-0.102
-4795,9,"0x0009",2,-4795.312,0.312,-4794.727,-0.273
-4794,11,"0x000B",2,-4794.140,0.140,-4793.555,-0.445
-4793,12,"0x000C",1,-4793.554,0.554,-4792.969,-0.031
-4792,14,"0x000E",2,-4792.382,0.382,-4791.797,-0.203
-4791,16,"0x0010",2,-4791.210,0.210,-4790.625,-0.375
-4790,18,"0x0012",2,-4790.038,0.038,-4789.453,-0.547
-4789,19,"0x0013",1,-4789.452,0.452,-4788.867,-0.133
-4788,21,"0x0015",2,-4788.280,0.280,-4787.695,-0.305
-4787,23,"0x0017",2,-4787.108,0.108,-4786.523,-0.477
-4786,24,"0x0018",1,-4786.522,0.522,-4785.938,-0.063
-4785,26,"0x001A",2,-4785.350,0.350,-4784.766,-0.234
-4784,28,"0x001C",2,-4784.178,0.178,-4783.594,-0.406
-4783,30,"0x001E",2,-4783.006,0.006,-4782.422,-0.578
-4782,31,"0x001F",1,-4782.420,0.420,-4781.836,-0.164
-4781,33,"0x0021",2,-4781.248,0.248,-4780.664,-0.336
-4780,35,"0x0023",2,-4780.076,0.076,-4779.492,-0.508
-4779,36,"0x0024",1,-4779.490,0.490,-4778.906,-0.094
-4778,38,"0x0026",2,-4778.318,0.318,-4777.734,-0.266
-4777,40,"0x0028",2,-4777.146,0.146,-4776.563,-0.438
-4776,41,"0x0029",1,-4776.560,0.560,-4775.977,-0.023
-4775,43,"0x002B",2,-4775.388,0.388,-4774.805,-0.195
-4774,45,"0x002D",2,-4774.216,0.216,-4773.633,-0.367
-4773,47,"0x002F",2,-4773.044,0.044,-4772.461,-0.539
-4772,48,"0x0030",1,-4772.458,0.458,-4771.875,-0.125
-4771,50,"0x0032",2,-4771.286,0.286,-4770.703,-0.297
-4770,52,"0x0034",2,-4770.114,0.114,-4769.531,-0.469
-4769,53,"0x0035",1,-4769.528,0.528,-4768.945,-0.055
-4768,55,"0x0037",2,-4768.356,0.356,-4767.773,-0.227
-4767,57,"0x0039",2,-4767.183,0.183,-4766.602,-0.398
-4766,59,"0x003B",2,-4766.011,0.011,-4765.430,-0.570
-4765,60,"0x003C",1,-4765.425,0.425,-4764.844,-0.156
-4764,62,"0x003E",2,-4764.253,0.253,-4763.672,-0.328
-4763,64,"0x0040",2,-4763.081,0.081,-4762.500,-0.500
-4762,65,"0x0041",1,-4762.495,0.495,-4761.914,-0.086
-4761,67,"0x0043",2,-4761.323,0.323,-4760.742,-0.258
-4760,69,"0x0045",2,-4760.151,0.151,-4759.570,-0.430
-4759,70,"0x0046",1,-4759.565,0.565,-4758.984,-0.016
-4758,72,"0x0048",2,-4758.393,0.393,-4757.813,-0.188
-4757,74,"0x004A",2,-4757.221,0.221,-4756.641,-0.359
-4756,76,"0x004C",2,-4756.049,0.049,-4755.469,-0.531
