Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch from MIDI2
-160,1639,"0x0667",41,-160,429496730,"0x1999999A",10737418,-160
-159,1680,"0x0690",41,-159,440234148,"0x1A3D70A4",10737418,-159
-158,1721,"0x06B9",41,-158,450971567,"0x1AE147AF",10737419,-157
-157,1762,"0x06E2",41,-157,461708985,"0x1B851EB9",10737418,-157
-156,1803,"0x070B",41,-156,472446403,"0x1C28F5C3",10737418,-156
-155,1844,"0x0734",41,-154,483183821,"0x1CCCCCCD",10737418,-155
-154,1885,"0x075D",41,-153,493921240,"0x1D70A3D8",10737419,-153
-153,1926,"0x0786",41,-152,504658658,"0x1E147AE2",10737418,-153
-152,1967,"0x07AF",41,-151,515396076,"0x1EB851EC",10737418,-152
-151,2008,"0x07D8",41,-150,526133494,"0x1F5C28F6",10737418,-151
-150,2048,"0x0800",40,-150,536870912,"0x20000000",10737418,-150
-149,2089,"0x0829",41,-149,547608331,"0x20A3D70B",10737419,-148
-148,2130,"0x0852",41,-148,558345749,"0x2147AE15",10737418,-148
-147,2171,"0x087B",41,-147,569083167,"0x21EB851F",10737418,-147
-146,2212,"0x08A4",41,-146,579820585,"0x228F5C29",10737418,-146
-145,2253,"0x08CD",41,-145,590558004,"0x23333334",10737419,-144
-144,2294,"0x08F6",41,-144,601295422,"0x23D70A3E",10737418,-144
-143,2335,"0x091F",41,-143,612032840,"0x247AE148",10737418,-143
-142,2376,"0x0948",41,-142,622770258,"0x251EB852",10737418,-142
-141,2417,"0x0971",41,-141,633507677,"0x25C28F5D",10737419,-140
-140,2458,"0x099A",41,-140,644245095,"0x26666667",10737418,-140
-139,2499,"0x09C3",41,-139,654982513,"0x270A3D71",10737418,-139
-138,2540,"0x09EC",41,-138,665719931,"0x27AE147B",10737418,-138
-137,2581,"0x0A15",41,-137,676457350,"0x2851EB86",10737419,-136
-136,2622,"0x0A3E",41,-136,687194768,"0x28F5C290",10737418,-136
-135,2663,"0x0A67",41,-135,697932186,"0x2999999A",10737418,-135
-134,2704,"0x0A90",41,-134,708669604,"0x2A3D70A4",10737418,-134
-133,2745,"0x0AB9",41,-132,719407023,"0x2AE147AF",10737419,-132
-132,2786,"0x0AE2",41,-131,730144441,"0x2B851EB9",10737418,-131
-131,2827,"0x0B0B",41,-130,740881859,"0x2C28F5C3",10737418,-131
-130,2868,"0x0B34",41,-129,751619277,"0x2CCCCCCD",10737418,-130
-129,2909,"0x0B5D",41,-128,762356696,"0x2D70A3D8",10737419,-128
-128,2950,"0x0B86",41,-127,773094114,"0x2E147AE2",10737418,-127
-127,2991,"0x0BAF",41,-126,783831532,"0x2EB851EC",10737418,-127
-126,3032,"0x0BD8",41,-125,794568950,"0x2F5C28F6",10737418,-126
-125,3072,"0x0C00",40,-125,805306368,"0x30000000",10737418,-125
-124,3113,"0x0C29",41,-124,816043787,"0x30A3D70B",10737419,-123
-123,3154,"0x0C52",41,-123,826781205,"0x3147AE15",10737418,-123
-122,3195,"0x0C7B",41,-122,837518623,"0x31EB851F",10737418,-122
-121,3236,"0x0CA4",41,-121,848256041,"0x328F5C29",10737418,-121
-120,3277,"0x0CCD",41,-120,858993460,"0x33333334",10737419,-119
-119,3318,"0x0CF6",41,-119,869730878,"0x33D70A3E",10737418,-119
-118,3359,"0x0D1F",41,-118,880468296,"0x347AE148",10737418,-118
-117,3400,"0x0D48",41,-117,891205714,"0x351EB852",10737418,-117
-116,3441,"0x0D71",41,-116,901943133,"0x35C28F5D",10737419,-115
-115,3482,"0x0D9A",41,-115,912680551,"0x36666667",10737418,-114
-114,3523,"0x0DC3",41,-114,923417969,"0x370A3D71",10737418,-114
-113,3564,"0x0DEC",41,-113,934155387,"0x37AE147B",10737418,-113
-112,3605,"0x0E15",41,-112,944892806,"0x3851EB86",10737419,-111
-111,3646,"0x0E3E",41,-110,955630224,"0x38F5C290",10737418,-110
-110,3687,"0x0E67",41,-109,966367642,"0x3999999A",10737418,-110
-109,3728,"0x0E90",41,-108,977105060,"0x3A3D70A4",10737418,-109
-108,3769,"0x0EB9",41,-107,987842479,"0x3AE147AF",10737419,-107
-107,3810,"0x0EE2",41,-106,998579897,"0x3B851EB9",10737418,-106
-106,3851,"0x0F0B",41,-105,1009317315,"0x3C28F5C3",10737418,-106
-105,3892,"0x0F34",41,-104,1020054733,"0x3CCCCCCD",10737418,-105
-104,3933,"0x0F5D",41,-103,1030792152,"0x3D70A3D8",10737419,-103
-103,3974,"0x0F86",41,-102,1041529570,"0x3E147AE2",10737418,-102
-102,4015,"0x0FAF",41,-101,1052266988,"0x3EB851EC",10737418,-102
-101,4056,"0x0FD8",41,-100,1063004406,"0x3F5C28F6",10737418,-101
-100,4096,"0x1000",40,-100,1073741824,"0x40000000",10737418,-100
-99,4137,"0x1029",41,-99,1084479243,"0x40A3D70B",10737419,-98
-98,4178,"0x1052",41,-98,1095216661,"0x4147AE15",10737418,-97
-97,4219,"0x107B",41,-97,1105954079,"0x41EB851F",10737418,-97
-96,4260,"0x10A4",41,-96,1116691497,"0x428F5C29",10737418,-96
-95,4301,"0x10CD",41,-95,1127428916,"0x43333334",10737419,-94
-94,4342,"0x10F6",41,-94,1138166334,"0x43D70A3E",10737418,-93
-93,4383,"0x111F",41,-93,1148903752,"0x447AE148",10737418,-93
-92,4424,"0x1148",41,-92,1159641170,"0x451EB852",10737418,-92
-91,4465,"0x1171",41,-91,1170378589,"0x45C28F5D",10737419,-90
-90,4506,"0x119A",41,-90,1181116007,"0x46666667",10737418,-89
-89,4547,"0x11C3",41,-89,1191853425,"0x470A3D71",10737418,-89
-88,4588,"0x11EC",41,-87,1202590843,"0x47AE147B",10737418,-88
-87,4629,"0x1215",41,-86,1213328262,"0x4851EB86",10737419,-86
-86,4670,"0x123E",41,-85,1224065680,"0x48F5C290",10737418,-85
-85,4711,"0x1267",41,-84,1234803098,"0x4999999A",10737418,-85
-84,4752,"0x1290",41,-83,1245540516,"0x4A3D70A4",10737418,-84
-83,4793,"0x12B9",41,-82,1256277935,"0x4AE147AF",10737419,-82
-82,4834,"0x12E2",41,-81,1267015353,"0x4B851EB9",10737418,-81
-81,4875,"0x130B",41,-80,1277752771,"0x4C28F5C3",10737418,-80
-80,4916,"0x1334",41,-79,1288490189,"0x4CCCCCCD",10737418,-80
-79,4957,"0x135D",41,-78,1299227608,"0x4D70A3D8",10737419,-78
-78,4998,"0x1386",41,-77,1309965026,"0x4E147AE2",10737418,-77
-77,5039,"0x13AF",41,-76,1320702444,"0x4EB851EC",10737418,-76
-76,5080,"0x13D8",41,-75,1331439862,"0x4F5C28F6",10737418,-76
-75,5120,"0x1400",40,-75,1342177280,"0x50000000",10737418,-75
-74,5161,"0x1429",41,-74,1352914699,"0x50A3D70B",10737419,-73
-73,5202,"0x1452",41,-73,1363652117,"0x5147AE15",10737418,-72
-72,5243,"0x147B",41,-72,1374389535,"0x51EB851F",10737418,-72
-71,5284,"0x14A4",41,-71,1385126953,"0x528F5C29",10737418,-71
-70,5325,"0x14CD",41,-70,1395864372,"0x53333334",10737419,-69
-69,5366,"0x14F6",41,-69,1406601790,"0x53D70A3E",10737418,-68
-68,5407,"0x151F",41,-68,1417339208,"0x547AE148",10737418,-68
-67,5448,"0x1548",41,-67,1428076626,"0x551EB852",10737418,-67
-66,5489,"0x1571",41,-65,1438814045,"0x55C28F5D",10737419,-65
-65,5530,"0x159A",41,-64,1449551463,"0x56666667",10737418,-64
-64,5571,"0x15C3",41,-63,1460288881,"0x570A3D71",10737418,-63
-63,5612,"0x15EC",41,-62,1471026299,"0x57AE147B",10737418,-63
-62,5653,"0x1615",41,-61,1481763718,"0x5851EB86",10737419,-61
-61,5694,"0x163E",41,-60,1492501136,"0x58F5C290",10737418,-60
-60,5735,"0x1667",41,-59,1503238554,"0x5999999A",10737418,-59
-59,5776,"0x1690",41,-58,1513975972,"0x5A3D70A4",10737418,-59
-58,5817,"0x16B9",41,-57,1524713391,"0x5AE147AF",10737419,-57
-57,5858,"0x16E2",41,-56,1535450809,"0x5B851EB9",10737418,-56
-56,5899,"0x170B",41,-55,1546188227,"0x5C28F5C3",10737418,-55
-55,5940,"0x1734",41,-54,1556925645,"0x5CCCCCCD",10737418,-55
-54,5981,"0x175D",41,-53,1567663064,"0x5D70A3D8",10737419,-53
-53,6022,"0x1786",41,-52,1578400482,"0x5E147AE2",10737418,-52
-52,6063,"0x17AF",41,-51,1589137900,"0x5EB851EC",10737418,-51
-51,6104,"0x17D8",41,-50,1599875318,"0x5F5C28F6",10737418,-51
-50,6144,"0x1800",40,-50,1610612736,"0x60000000",10737418,-50
-49,6185,"0x1829",41,-49,1621350155,"0x60A3D70B",10737419,-48
-48,6226,"0x1852",41,-48,1632087573,"0x6147AE15",10737418,-47
-47,6267,"0x187B",41,-47,1642824991,"0x61EB851F",10737418,-46
-46,6308,"0x18A4",41,-46,1653562409,"0x628F5C29",10737418,-46
-45,6349,"0x18CD",41,-45,1664299828,"0x63333334",10737419,-44
-44,6390,"0x18F6",41,-43,1675037246,"0x63D70A3E",10737418,-43
-43,6431,"0x191F",41,-42,1685774664,"0x647AE148",10737418,-42
-42,6472,"0x1948",41,-41,1696512082,"0x651EB852",10737418,-42
-41,6513,"0x1971",41,-40,1707249501,"0x65C28F5D",10737419,-40
-40,6554,"0x199A",41,-39,1717986919,"0x66666667",10737418,-39
-39,6595,"0x19C3",41,-38,1728724337,"0x670A3D71",10737418,-38
-38,6636,"0x19EC",41,-37,1739461755,"0x67AE147B",10737418,-38
-37,6677,"0x1A15",41,-36,1750199174,"0x6851EB86",10737419,-36
-36,6718,"0x1A3E",41,-35,1760936592,"0x68F5C290",10737418,-35
-35,6759,"0x1A67",41,-34,1771674010,"0x6999999A",10737418,-34
-34,6800,"0x1A90",41,-33,1782411428,"0x6A3D70A4",10737418,-34
-33,6841,"0x1AB9",41,-32,1793148847,"0x6AE147AF",10737419,-32
-32,6882,"0x1AE2",41,-31,1803886265,"0x6B851EB9",10737418,-31
-31,6923,"0x1B0B",41,-30,1814623683,"0x6C28F5C3",10737418,-30
-30,6964,"0x1B34",41,-29,1825361101,"0x6CCCCCCD",10737418,-29
-29,7005,"0x1B5D",41,-28,1836098520,"0x6D70A3D8",10737419,-28
-28,7046,"0x1B86",41,-27,1846835938,"0x6E147AE2",10737418,-27
-27,7087,"0x1BAF",41,-26,1857573356,"0x6EB851EC",10737418,-26
-26,7128,"0x1BD8",41,-25,1868310774,"0x6F5C28F6",10737418,-25
-25,7168,"0x1C00",40,-25,1879048192,"0x70000000",10737418,-25
-24,7209,"0x1C29",41,-24,1889785611,"0x70A3D70B",10737419,-23
-23,7250,"0x1C52",41,-23,1900523029,"0x7147AE15",10737418,-22
-22,7291,"0x1C7B",41,-21,1911260447,"0x71EB851F",10737418,-21
-21,7332,"0x1CA4",41,-20,1921997865,"0x728F5C29",10737418,-21
-20,7373,"0x1CCD",41,-19,1932735284,"0x73333334",10737419,-19
-19,7414,"0x1CF6",41,-18,1943472702,"0x73D70A3E",10737418,-18
-18,7455,"0x1D1F",41,-17,1954210120,"0x747AE148",10737418,-17
-17,7496,"0x1D48",41,-16,1964947538,"0x751EB852",10737418,-17
-16,7537,"0x1D71",41,-15,1975684957,"0x75C28F5D",10737419,-15
-15,7578,"0x1D9A",41,-14,1986422375,"0x76666667",10737418,-14
-14,7619,"0x1DC3",41,-13,1997159793,"0x770A3D71",10737418,-13
-13,7660,"0x1DEC",41,-12,2007897211,"0x77AE147B",10737418,-12
-12,7701,"0x1E15",41,-11,2018634630,"0x7851EB86",10737419,-11
-11,7742,"0x1E3E",41,-10,2029372048,"0x78F5C290",10737418,-10
-10,7783,"0x1E67",41,-9,2040109466,"0x7999999A",10737418,-9
-9,7824,"0x1E90",41,-8,2050846884,"0x7A3D70A4",10737418,-8
-8,7865,"0x1EB9",41,-7,2061584303,"0x7AE147AF",10737419,-7
-7,7906,"0x1EE2",41,-6,2072321721,"0x7B851EB9",10737418,-6
-6,7947,"0x1F0B",41,-5,2083059139,"0x7C28F5C3",10737418,-5
-5,7988,"0x1F34",41,-4,2093796557,"0x7CCCCCCD",10737418,-4
-4,8029,"0x1F5D",41,-3,2104533976,"0x7D70A3D8",10737419,-3
-3,8070,"0x1F86",41,-2,2115271394,"0x7E147AE2",10737418,-2
-2,8111,"0x1FAF",41,-1,2126008812,"0x7EB851EC",10737418,-1
-1,8152,"0x1FD8",41,0,2136746230,"0x7F5C28F6",10737418,0
0,8192,"0x2000",40,0,2147483648,"0x80000000",10737418,0
1,8232,"0x2028",40,0,2158221066,"0x80A3D70A",10737418,0
2,8273,"0x2051",41,1,2168958484,"0x8147AE14",10737418,1
3,8314,"0x207A",41,2,2179695902,"0x81EB851E",10737418,2
4,8355,"0x20A3",41,3,2190433320,"0x828F5C28",10737418,3
5,8396,"0x20CC",41,4,2201170739,"0x83333333",10737419,4
6,8437,"0x20F5",41,5,2211908157,"0x83D70A3D",10737418,5
7,8478,"0x211E",41,6,2222645575,"0x847AE147",10737418,6
8,8519,"0x2147",41,7,2233382993,"0x851EB851",10737418,7
9,8560,"0x2170",41,8,2244120412,"0x85C28F5C",10737419,8
10,8601,"0x2199",41,9,2254857830,"0x86666666",10737418,9
11,8642,"0x21C2",41,10,2265595248,"0x870A3D70",10737418,10
12,8683,"0x21EB",41,11,2276332666,"0x87AE147A",10737418,11
13,8724,"0x2214",41,12,2287070085,"0x8851EB85",10737419,12
14,8765,"0x223D",41,13,2297807503,"0x88F5C28F",10737418,13
15,8806,"0x2266",41,14,2308544921,"0x89999999",10737418,14
16,8847,"0x228F",41,15,2319282339,"0x8A3D70A3",10737418,15
17,8888,"0x22B8",41,16,2330019758,"0x8AE147AE",10737419,17
18,8929,"0x22E1",41,17,2340757176,"0x8B851EB8",10737418,17
19,8970,"0x230A",41,18,2351494594,"0x8C28F5C2",10737418,18
20,9011,"0x2333",41,19,2362232012,"0x8CCCCCCC",10737418,19
21,9052,"0x235C",41,20,2372969431,"0x8D70A3D7",10737419,21
22,9093,"0x2385",41,21,2383706849,"0x8E147AE1",10737418,21
23,9134,"0x23AE",41,23,2394444267,"0x8EB851EB",10737418,22
24,9175,"0x23D7",41,24,2405181685,"0x8F5C28F5",10737418,23
25,9216,"0x2400",41,25,2415919104,"0x90000000",10737419,25
26,9256,"0x2428",40,25,2426656522,"0x90A3D70A",10737418,25
27,9297,"0x2451",41,26,2437393940,"0x9147AE14",10737418,26
28,9338,"0x247A",41,27,2448131358,"0x91EB851E",10737418,27
29,9379,"0x24A3",41,28,2458868776,"0x928F5C28",10737418,28
30,9420,"0x24CC",41,29,2469606195,"0x93333333",10737419,29
31,9461,"0x24F5",41,30,2480343613,"0x93D70A3D",10737418,30
32,9502,"0x251E",41,31,2491081031,"0x947AE147",10737418,31
33,9543,"0x2547",41,32,2501818449,"0x951EB851",10737418,32
34,9584,"0x2570",41,33,2512555868,"0x95C28F5C",10737419,34
35,9625,"0x2599",41,34,2523293286,"0x96666666",10737418,34
36,9666,"0x25C2",41,35,2534030704,"0x970A3D70",10737418,35
37,9707,"0x25EB",41,36,2544768122,"0x97AE147A",10737418,36
38,9748,"0x2614",41,37,2555505541,"0x9851EB85",10737419,38
39,9789,"0x263D",41,38,2566242959,"0x98F5C28F",10737418,38
40,9830,"0x2666",41,39,2576980377,"0x99999999",10737418,39
41,9871,"0x268F",41,40,2587717795,"0x9A3D70A3",10737418,40
42,9912,"0x26B8",41,41,2598455214,"0x9AE147AE",10737419,42
43,9953,"0x26E1",41,42,2609192632,"0x9B851EB8",10737418,42
44,9994,"0x270A",41,43,2619930050,"0x9C28F5C2",10737418,43
45,10035,"0x2733",41,45,2630667468,"0x9CCCCCCC",10737418,44
46,10076,"0x275C",41,46,2641404887,"0x9D70A3D7",10737419,46
47,10117,"0x2785",41,47,2652142305,"0x9E147AE1",10737418,46
48,10158,"0x27AE",41,48,2662879723,"0x9EB851EB",10737418,47
49,10199,"0x27D7",41,49,2673617141,"0x9F5C28F5",10737418,48
50,10240,"0x2800",41,50,2684354560,"0xA0000000",10737419,50
51,10280,"0x2828",40,50,2695091978,"0xA0A3D70A",10737418,51
52,10321,"0x2851",41,51,2705829396,"0xA147AE14",10737418,51
53,10362,"0x287A",41,52,2716566814,"0xA1EB851E",10737418,52
54,10403,"0x28A3",41,53,2727304232,"0xA28F5C28",10737418,53
55,10444,"0x28CC",41,54,2738041651,"0xA3333333",10737419,55
56,10485,"0x28F5",41,55,2748779069,"0xA3D70A3D",10737418,55
57,10526,"0x291E",41,56,2759516487,"0xA47AE147",10737418,56
58,10567,"0x2947",41,57,2770253905,"0xA51EB851",10737418,57
59,10608,"0x2970",41,58,2780991324,"0xA5C28F5C",10737419,59
60,10649,"0x2999",41,59,2791728742,"0xA6666666",10737418,59
61,10690,"0x29C2",41,60,2802466160,"0xA70A3D70",10737418,60
62,10731,"0x29EB",41,61,2813203578,"0xA7AE147A",10737418,61
63,10772,"0x2A14",41,62,2823940997,"0xA851EB85",10737419,63
64,10813,"0x2A3D",41,63,2834678415,"0xA8F5C28F",10737418,63
65,10854,"0x2A66",41,64,2845415833,"0xA9999999",10737418,64
66,10895,"0x2A8F",41,65,2856153251,"0xAA3D70A3",10737418,65
67,10936,"0x2AB8",41,67,2866890670,"0xAAE147AE",10737419,67
68,10977,"0x2AE1",41,68,2877628088,"0xAB851EB8",10737418,68
69,11018,"0x2B0A",41,69,2888365506,"0xAC28F5C2",10737418,68
70,11059,"0x2B33",41,70,2899102924,"0xACCCCCCC",10737418,69
71,11100,"0x2B5C",41,71,2909840343,"0xAD70A3D7",10737419,71
72,11141,"0x2B85",41,72,2920577761,"0xAE147AE1",10737418,72
73,11182,"0x2BAE",41,73,2931315179,"0xAEB851EB",10737418,72
74,11223,"0x2BD7",41,74,2942052597,"0xAF5C28F5",10737418,73
75,11264,"0x2C00",41,75,2952790016,"0xB0000000",10737419,75
76,11304,"0x2C28",40,75,2963527434,"0xB0A3D70A",10737418,76
77,11345,"0x2C51",41,76,2974264852,"0xB147AE14",10737418,76
78,11386,"0x2C7A",41,77,2985002270,"0xB1EB851E",10737418,77
79,11427,"0x2CA3",41,78,2995739688,"0xB28F5C28",10737418,78
80,11468,"0x2CCC",41,79,3006477107,"0xB3333333",10737419,80
81,11509,"0x2CF5",41,80,3017214525,"0xB3D70A3D",10737418,80
82,11550,"0x2D1E",41,81,3027951943,"0xB47AE147",10737418,81
83,11591,"0x2D47",41,82,3038689361,"0xB51EB851",10737418,82
84,11632,"0x2D70",41,83,3049426780,"0xB5C28F5C",10737419,84
85,11673,"0x2D99",41,84,3060164198,"0xB6666666",10737418,85
86,11714,"0x2DC2",41,85,3070901616,"0xB70A3D70",10737418,85
87,11755,"0x2DEB",41,86,3081639034,"0xB7AE147A",10737418,86
88,11796,"0x2E14",41,87,3092376453,"0xB851EB85",10737419,88
89,11837,"0x2E3D",41,89,3103113871,"0xB8F5C28F",10737418,89
90,11878,"0x2E66",41,90,3113851289,"0xB9999999",10737418,89
91,11919,"0x2E8F",41,91,3124588707,"0xBA3D70A3",10737418,90
92,11960,"0x2EB8",41,92,3135326126,"0xBAE147AE",10737419,92
93,12001,"0x2EE1",41,93,3146063544,"0xBB851EB8",10737418,93
94,12042,"0x2F0A",41,94,3156800962,"0xBC28F5C2",10737418,93
95,12083,"0x2F33",41,95,3167538380,"0xBCCCCCCC",10737418,94
96,12124,"0x2F5C",41,96,3178275799,"0xBD70A3D7",10737419,96
97,12165,"0x2F85",41,97,3189013217,"0xBE147AE1",10737418,97
98,12206,"0x2FAE",41,98,3199750635,"0xBEB851EB",10737418,97
99,12247,"0x2FD7",41,99,3210488053,"0xBF5C28F5",10737418,98
100,12288,"0x3000",41,100,3221225472,"0xC0000000",10737419,100
101,12328,"0x3028",40,100,3231962890,"0xC0A3D70A",10737418,101
102,12369,"0x3051",41,101,3242700308,"0xC147AE14",10737418,102
103,12410,"0x307A",41,102,3253437726,"0xC1EB851E",10737418,102
104,12451,"0x30A3",41,103,3264175144,"0xC28F5C28",10737418,103
105,12492,"0x30CC",41,104,3274912563,"0xC3333333",10737419,105
106,12533,"0x30F5",41,105,3285649981,"0xC3D70A3D",10737418,106
107,12574,"0x311E",41,106,3296387399,"0xC47AE147",10737418,106
108,12615,"0x3147",41,107,3307124817,"0xC51EB851",10737418,107
109,12656,"0x3170",41,108,3317862236,"0xC5C28F5C",10737419,109
110,12697,"0x3199",41,109,3328599654,"0xC6666666",10737418,110
111,12738,"0x31C2",41,110,3339337072,"0xC70A3D70",10737418,110
112,12779,"0x31EB",41,112,3350074490,"0xC7AE147A",10737418,111
113,12820,"0x3214",41,113,3360811909,"0xC851EB85",10737419,113
114,12861,"0x323D",41,114,3371549327,"0xC8F5C28F",10737418,114
115,12902,"0x3266",41,115,3382286745,"0xC9999999",10737418,114
116,12943,"0x328F",41,116,3393024163,"0xCA3D70A3",10737418,115
117,12984,"0x32B8",41,117,3403761582,"0xCAE147AE",10737419,117
118,13025,"0x32E1",41,118,3414499000,"0xCB851EB8",10737418,118
119,13066,"0x330A",41,119,3425236418,"0xCC28F5C2",10737418,119
120,13107,"0x3333",41,120,3435973836,"0xCCCCCCCC",10737418,119
121,13148,"0x335C",41,121,3446711255,"0xCD70A3D7",10737419,121
122,13189,"0x3385",41,122,3457448673,"0xCE147AE1",10737418,122
123,13230,"0x33AE",41,123,3468186091,"0xCEB851EB",10737418,123
124,13271,"0x33D7",41,124,3478923509,"0xCF5C28F5",10737418,123
125,13312,"0x3400",41,125,3489660928,"0xD0000000",10737419,125
126,13352,"0x3428",40,125,3500398346,"0xD0A3D70A",10737418,126
127,13393,"0x3451",41,126,3511135764,"0xD147AE14",10737418,127
128,13434,"0x347A",41,127,3521873182,"0xD1EB851E",10737418,127
129,13475,"0x34A3",41,128,3532610600,"0xD28F5C28",10737418,128
130,13516,"0x34CC",41,129,3543348019,"0xD3333333",10737419,130
131,13557,"0x34F5",41,130,3554085437,"0xD3D70A3D",10737418,131
132,13598,"0x351E",41,131,3564822855,"0xD47AE147",10737418,131
133,13639,"0x3547",41,132,3575560273,"0xD51EB851",10737418,132
134,13680,"0x3570",41,134,3586297692,"0xD5C28F5C",10737419,134
135,13721,"0x3599",41,135,3597035110,"0xD6666666",10737418,135
136,13762,"0x35C2",41,136,3607772528,"0xD70A3D70",10737418,136
137,13803,"0x35EB",41,137,3618509946,"0xD7AE147A",10737418,136
138,13844,"0x3614",41,138,3629247365,"0xD851EB85",10737419,138
139,13885,"0x363D",41,139,3639984783,"0xD8F5C28F",10737418,139
140,13926,"0x3666",41,140,3650722201,"0xD9999999",10737418,140
141,13967,"0x368F",41,141,3661459619,"0xDA3D70A3",10737418,140
142,14008,"0x36B8",41,142,3672197038,"0xDAE147AE",10737419,142
143,14049,"0x36E1",41,143,3682934456,"0xDB851EB8",10737418,143
144,14090,"0x370A",41,144,3693671874,"0xDC28F5C2",10737418,144
145,14131,"0x3733",41,145,3704409292,"0xDCCCCCCC",10737418,144
146,14172,"0x375C",41,146,3715146711,"0xDD70A3D7",10737419,146
147,14213,"0x3785",41,147,3725884129,"0xDE147AE1",10737418,147
148,14254,"0x37AE",41,148,3736621547,"0xDEB851EB",10737418,148
149,14295,"0x37D7",41,149,3747358965,"0xDF5C28F5",10737418,148
150,14336,"0x3800",41,150,3758096384,"0xE0000000",10737419,150
151,14376,"0x3828",40,150,3768833802,"0xE0A3D70A",10737418,151
152,14417,"0x3851",41,151,3779571220,"0xE147AE14",10737418,152
153,14458,"0x387A",41,152,3790308638,"0xE1EB851E",10737418,153
154,14499,"0x38A3",41,153,3801046056,"0xE28F5C28",10737418,153
155,14540,"0x38CC",41,154,3811783475,"0xE3333333",10737419,155
156,14581,"0x38F5",41,156,3822520893,"0xE3D70A3D",10737418,156
157,14622,"0x391E",41,157,3833258311,"0xE47AE147",10737418,157
158,14663,"0x3947",41,158,3843995729,"0xE51EB851",10737418,157
159,14704,"0x3970",41,159,3854733148,"0xE5C28F5C",10737419,159
160,14745,"0x3999",41,160,3865470566,"0xE6666666",10737418,160
161,14786,"0x39C2",41,161,3876207984,"0xE70A3D70",10737418,161
162,14827,"0x39EB",41,162,3886945402,"0xE7AE147A",10737418,161
163,14868,"0x3A14",41,163,3897682821,"0xE851EB85",10737419,163
164,14909,"0x3A3D",41,164,3908420239,"0xE8F5C28F",10737418,164
165,14950,"0x3A66",41,165,3919157657,"0xE9999999",10737418,165
166,14991,"0x3A8F",41,166,3929895075,"0xEA3D70A3",10737418,165
