Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch from MIDI2
-200,0,"0x0000",0,-200,0,"0x00000000",0,-200
-199,41,"0x0029",41,-199,10737419,"0x00A3D70B",10737419,-199
-198,82,"0x0052",41,-198,21474837,"0x0147AE15",10737418,-198
-197,123,"0x007B",41,-197,32212255,"0x01EB851F",10737418,-197
-196,164,"0x00A4",41,-196,42949673,"0x028F5C29",10737418,-196
-195,205,"0x00CD",41,-195,53687092,"0x03333334",10737419,-195
-194,246,"0x00F6",41,-194,64424510,"0x03D70A3E",10737418,-194
-193,287,"0x011F",41,-193,75161928,"0x047AE148",10737418,-193
-192,328,"0x0148",41,-192,85899346,"0x051EB852",10737418,-192
-191,369,"0x0171",41,-191,96636765,"0x05C28F5D",10737419,-191
-190,410,"0x019A",41,-190,107374183,"0x06666667",10737418,-190
-189,451,"0x01C3",41,-189,118111601,"0x070A3D71",10737418,-189
-188,492,"0x01EC",41,-188,128849019,"0x07AE147B",10737418,-188
-187,533,"0x0215",41,-187,139586438,"0x0851EB86",10737419,-187
-186,574,"0x023E",41,-186,150323856,"0x08F5C290",10737418,-186
-185,615,"0x0267",41,-185,161061274,"0x0999999A",10737418,-185
-184,656,"0x0290",41,-184,171798692,"0x0A3D70A4",10737418,-184
-183,697,"0x02B9",41,-183,182536111,"0x0AE147AF",10737419,-182
-182,738,"0x02E2",41,-182,193273529,"0x0B851EB9",10737418,-182
-181,779,"0x030B",41,-181,204010947,"0x0C28F5C3",10737418,-181
-180,820,"0x0334",41,-180,214748365,"0x0CCCCCCD",10737418,-180
-179,861,"0x035D",41,-179,225485784,"0x0D70A3D8",10737419,-178
-178,902,"0x0386",41,-178,236223202,"0x0E147AE2",10737418,-178
-177,943,"0x03AF",41,-176,246960620,"0x0EB851EC",10737418,-177
-176,984,"0x03D8",41,-175,257698038,"0x0F5C28F6",10737418,-176
-175,1024,"0x0400",40,-175,268435456,"0x10000000",10737418,-175
-174,1065,"0x0429",41,-174,279172875,"0x10A3D70B",10737419,-174
-173,1106,"0x0452",41,-173,289910293,"0x1147AE15",10737418,-173
-172,1147,"0x047B",41,-172,300647711,"0x11EB851F",10737418,-172
-171,1188,"0x04A4",41,-171,311385129,"0x128F5C29",10737418,-171
-170,1229,"0x04CD",41,-170,322122548,"0x13333334",10737419,-170
-169,1270,"0x04F6",41,-169,332859966,"0x13D70A3E",10737418,-169
-168,1311,"0x051F",41,-168,343597384,"0x147AE148",10737418,-168
-167,1352,"0x0548",41,-167,354334802,"0x151EB852",10737418,-167
-166,1393,"0x0571",41,-166,365072221,"0x15C28F5D",10737419,-165
-165,1434,"0x059A",41,-165,375809639,"0x16666667",10737418,-165
-164,1475,"0x05C3",41,-164,386547057,"0x170A3D71",10737418,-164
-163,1516,"0x05EC",41,-163,397284475,"0x17AE147B",10737418,-163
-162,1557,"0x0615",41,-162,408021894,"0x1851EB86",10737419,-161
-161,1598,"0x063E",41,-161,418759312,"0x18F5C290",10737418,-161
