Pitch Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch Offset from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch Offset from MIDI2
-4800,0,"0x0000",0,-4800,0,"0x00000000",0,-4800
-4799,2,"0x0002",2,-4799,447393,"0x0006D3A1",447393,-4799
-4798,4,"0x0004",2,-4798,894785,"0x000DA741",447392,-4798
-4797,6,"0x0006",2,-4797,1342178,"0x00147AE2",447393,-4797
-4796,7,"0x0007",1,-4796,1789570,"0x001B4E82",447392,-4796
-4795,9,"0x0009",2,-4795,2236963,"0x00222223",447393,-4795
-4794,11,"0x000B",2,-4794,2684355,"0x0028F5C3",447392,-4794
-4793,12,"0x000C",1,-4793,3131747,"0x002FC963",447392,-4793
-4792,14,"0x000E",2,-4792,3579140,"0x00369D04",447393,-4792
-4791,16,"0x0010",2,-4791,4026532,"0x003D70A4",447392,-4791
-4790,18,"0x0012",2,-4790,4473925,"0x00444445",447393,-4790
-4789,19,"0x0013",1,-4789,4921317,"0x004B17E5",447392,-4789
-4788,21,"0x0015",2,-4788,5368710,"0x0051EB86",447393,-4788
-4787,23,"0x0017",2,-4787,5816102,"0x0058BF26",447392,-4787
-4786,24,"0x0018",1,-4786,6263494,"0x005F92C6",447392,-4786
-4785,26,"0x001A",2,-4785,6710887,"0x00666667",447393,-4785
-4784,28,"0x001C",2,-4784,7158279,"0x006D3A07",447392,-4784
-4783,30,"0x001E",2,-4783,7605672,"0x00740DA8",447393,-4783
-4782,31,"0x001F",1,-4782,8053064,"0x007AE148",447392,-4782
-4781,33,"0x0021",2,-4781,8500457,"0x0081B4E9",447393,-4781
-4780,35,"0x0023",2,-4780,8947849,"0x00888889",447392,-4780
-4779,36,"0x0024",1,-4779,9395241,"0x008F5C29",447392,-4779
-4778,38,"0x0026",2,-4778,9842634,"0x00962FCA",447393,-4778
-4777,40,"0x0028",2,-4777,10290026,"0x009D036A",447392,-4777
-4776,41,"0x0029",1,-4776,10737419,"0x00A3D70B",447393,-4776
-4775,43,"0x002B",2,-4775,11184811,"0x00AAAAAB",447392,-4775
-4774,45,"0x002D",2,-4774,11632204,"0x00B17E4C",447393,-4774
-4773,47,"0x002F",2,-4773,12079596,"0x00B851EC",447392,-4773
