Offset in HCU,PB MIDI1,PB Hex MIDI2,𝚫PB MIDI1,Pitch from MIDI1,PB MIDI2,PB Hex MIDI2,𝚫PB MIDI2,Pitch from MIDI2
-100,0,"0x0000",0,-100,0,"0x00000000",0,-100
-99,82,"0x0052",82,-99,21474837,"0x0147AE15",21474837,-99
-98,164,"0x00A4",82,-98,42949673,"0x028F5C29",21474836,-98
-97,246,"0x00F6",82,-97,64424510,"0x03D70A3E",21474837,-97
-96,328,"0x0148",82,-96,85899346,"0x051EB852",21474836,-96
-95,410,"0x019A",82,-95,107374183,"0x06666667",21474837,-95
-94,492,"0x01EC",82,-94,128849019,"0x07AE147B",21474836,-94
-93,574,"0x023E",82,-93,150323856,"0x08F5C290",21474837,-93
-92,656,"0x0290",82,-92,171798692,"0x0A3D70A4",21474836,-92
-91,738,"0x02E2",82,-91,193273529,"0x0B851EB9",21474837,-91
-90,820,"0x0334",82,-90,214748365,"0x0CCCCCCD",21474836,-90
-89,902,"0x0386",82,-89,236223202,"0x0E147AE2",21474837,-89
-88,984,"0x03D8",82,-87,257698038,"0x0F5C28F6",21474836,-88
-87,1065,"0x0429",81,-87,279172875,"0x10A3D70B",21474837,-87
-86,1147,"0x047B",82,-86,300647711,"0x11EB851F",21474836,-86
-85,1229,"0x04CD",82,-85,322122548,"0x13333334",21474837,-85
-84,1311,"0x051F",82,-84,343597384,"0x147AE148",21474836,-84
-83,1393,"0x0571",82,-83,365072221,"0x15C28F5D",21474837,-82
-82,1475,"0x05C3",82,-82,386547057,"0x170A3D71",21474836,-82
-81,1557,"0x0615",82,-81,408021894,"0x1851EB86",21474837,-80
-80,1639,"0x0667",82,-80,429496730,"0x1999999A",21474836,-80
-79,1721,"0x06B9",82,-79,450971567,"0x1AE147AF",21474837,-78
-78,1803,"0x070B",82,-78,472446403,"0x1C28F5C3",21474836,-78
-77,1885,"0x075D",82,-76,493921240,"0x1D70A3D8",21474837,-76
-76,1967,"0x07AF",82,-75,515396076,"0x1EB851EC",21474836,-76
-75,2048,"0x0800",81,-75,536870912,"0x20000000",21474836,-75
-74,2130,"0x0852",82,-74,558345749,"0x2147AE15",21474837,-74
-73,2212,"0x08A4",82,-73,579820585,"0x228F5C29",21474836,-73
-72,2294,"0x08F6",82,-72,601295422,"0x23D70A3E",21474837,-72
-71,2376,"0x0948",82,-71,622770258,"0x251EB852",21474836,-71
-70,2458,"0x099A",82,-70,644245095,"0x26666667",21474837,-70
-69,2540,"0x09EC",82,-69,665719931,"0x27AE147B",21474836,-69
-68,2622,"0x0A3E",82,-68,687194768,"0x28F5C290",21474837,-68
-67,2704,"0x0A90",82,-67,708669604,"0x2A3D70A4",21474836,-67
-66,2786,"0x0AE2",82,-65,730144441,"0x2B851EB9",21474837,-65
-65,2868,"0x0B34",82,-64,751619277,"0x2CCCCCCD",21474836,-65
-64,2950,"0x0B86",82,-63,773094114,"0x2E147AE2",21474837,-63
-63,3032,"0x0BD8",82,-62,794568950,"0x2F5C28F6",21474836,-63
-62,3113,"0x0C29",81,-62,816043787,"0x30A3D70B",21474837,-61
-61,3195,"0x0C7B",82,-61,837518623,"0x31EB851F",21474836,-61
-60,3277,"0x0CCD",82,-60,858993460,"0x33333334",21474837,-59
-59,3359,"0x0D1F",82,-59,880468296,"0x347AE148",21474836,-59
-58,3441,"0x0D71",82,-58,901943133,"0x35C28F5D",21474837,-57
-57,3523,"0x0DC3",82,-57,923417969,"0x370A3D71",21474836,-57
-56,3605,"0x0E15",82,-56,944892806,"0x3851EB86",21474837,-55
-55,3687,"0x0E67",82,-54,966367642,"0x3999999A",21474836,-55
-54,3769,"0x0EB9",82,-53,987842479,"0x3AE147AF",21474837,-53
-53,3851,"0x0F0B",82,-52,1009317315,"0x3C28F5C3",21474836,-53
-52,3933,"0x0F5D",82,-51,1030792152,"0x3D70A3D8",21474837,-51
-51,4015,"0x0FAF",82,-50,1052266988,"0x3EB851EC",21474836,-51
-50,4096,"0x1000",81,-50,1073741824,"0x40000000",21474836,-50
-49,4178,"0x1052",82,-49,1095216661,"0x4147AE15",21474837,-48
-48,4260,"0x10A4",82,-48,1116691497,"0x428F5C29",21474836,-48
-47,4342,"0x10F6",82,-47,1138166334,"0x43D70A3E",21474837,-46
-46,4424,"0x1148",82,-46,1159641170,"0x451EB852",21474836,-46
-45,4506,"0x119A",82,-45,1181116007,"0x46666667",21474837,-44
-44,4588,"0x11EC",82,-43,1202590843,"0x47AE147B",21474836,-44
-43,4670,"0x123E",82,-42,1224065680,"0x48F5C290",21474837,-42
-42,4752,"0x1290",82,-41,1245540516,"0x4A3D70A4",21474836,-42
-41,4834,"0x12E2",82,-40,1267015353,"0x4B851EB9",21474837,-40
-40,4916,"0x1334",82,-39,1288490189,"0x4CCCCCCD",21474836,-40
-39,4998,"0x1386",82,-38,1309965026,"0x4E147AE2",21474837,-38
-38,5080,"0x13D8",82,-37,1331439862,"0x4F5C28F6",21474836,-38
-37,5161,"0x1429",81,-37,1352914699,"0x50A3D70B",21474837,-36
-36,5243,"0x147B",82,-36,1374389535,"0x51EB851F",21474836,-36
-35,5325,"0x14CD",82,-35,1395864372,"0x53333334",21474837,-34
-34,5407,"0x151F",82,-34,1417339208,"0x547AE148",21474836,-34
-33,5489,"0x1571",82,-32,1438814045,"0x55C28F5D",21474837,-32
-32,5571,"0x15C3",82,-31,1460288881,"0x570A3D71",21474836,-31
-31,5653,"0x1615",82,-30,1481763718,"0x5851EB86",21474837,-30
-30,5735,"0x1667",82,-29,1503238554,"0x5999999A",21474836,-29
-29,5817,"0x16B9",82,-28,1524713391,"0x5AE147AF",21474837,-28
-28,5899,"0x170B",82,-27,1546188227,"0x5C28F5C3",21474836,-27
-27,5981,"0x175D",82,-26,1567663064,"0x5D70A3D8",21474837,-26
-26,6063,"0x17AF",82,-25,1589137900,"0x5EB851EC",21474836,-25
-25,6144,"0x1800",81,-25,1610612736,"0x60000000",21474836,-25
-24,6226,"0x1852",82,-24,1632087573,"0x6147AE15",21474837,-23
-23,6308,"0x18A4",82,-23,1653562409,"0x628F5C29",21474836,-23
-22,6390,"0x18F6",82,-21,1675037246,"0x63D70A3E",21474837,-21
-21,6472,"0x1948",82,-20,1696512082,"0x651EB852",21474836,-21
-20,6554,"0x199A",82,-19,1717986919,"0x66666667",21474837,-19
-19,6636,"0x19EC",82,-18,1739461755,"0x67AE147B",21474836,-19
-18,6718,"0x1A3E",82,-17,1760936592,"0x68F5C290",21474837,-17
-17,6800,"0x1A90",82,-16,1782411428,"0x6A3D70A4",21474836,-17
-16,6882,"0x1AE2",82,-15,1803886265,"0x6B851EB9",21474837,-15
-15,6964,"0x1B34",82,-14,1825361101,"0x6CCCCCCD",21474836,-14
-14,7046,"0x1B86",82,-13,1846835938,"0x6E147AE2",21474837,-13
-13,7128,"0x1BD8",82,-12,1868310774,"0x6F5C28F6",21474836,-12
-12,7209,"0x1C29",81,-12,1889785611,"0x70A3D70B",21474837,-11
-11,7291,"0x1C7B",82,-10,1911260447,"0x71EB851F",21474836,-10
-10,7373,"0x1CCD",82,-9,1932735284,"0x73333334",21474837,-9
-9,7455,"0x1D1F",82,-8,1954210120,"0x747AE148",21474836,-8
-8,7537,"0x1D71",82,-7,1975684957,"0x75C28F5D",21474837,-7
-7,7619,"0x1DC3",82,-6,1997159793,"0x770A3D71",21474836,-6
-6,7701,"0x1E15",82,-5,2018634630,"0x7851EB86",21474837,-5
-5,7783,"0x1E67",82,-4,2040109466,"0x7999999A",21474836,-4
-4,7865,"0x1EB9",82,-3,2061584303,"0x7AE147AF",21474837,-3
-3,7947,"0x1F0B",82,-2,2083059139,"0x7C28F5C3",21474836,-2
-2,8029,"0x1F5D",82,-1,2104533976,"0x7D70A3D8",21474837,-1
-1,8111,"0x1FAF",82,0,2126008812,"0x7EB851EC",21474836,0
0,8192,"0x2000",81,0,2147483648,"0x80000000",21474836,0
1,8273,"0x2051",81,0,2168958484,"0x8147AE14",21474836,0
2,8355,"0x20A3",82,1,2190433320,"0x828F5C28",21474836,1
3,8437,"0x20F5",82,2,2211908157,"0x83D70A3D",21474837,2
4,8519,"0x2147",82,3,2233382993,"0x851EB851",21474836,3
5,8601,"0x2199",82,4,2254857830,"0x86666666",21474837,4
6,8683,"0x21EB",82,5,2276332666,"0x87AE147A",21474836,5
7,8765,"0x223D",82,6,2297807503,"0x88F5C28F",21474837,6
8,8847,"0x228F",82,7,2319282339,"0x8A3D70A3",21474836,7
9,8929,"0x22E1",82,8,2340757176,"0x8B851EB8",21474837,8
10,9011,"0x2333",82,9,2362232012,"0x8CCCCCCC",21474836,9
11,9093,"0x2385",82,10,2383706849,"0x8E147AE1",21474837,10
12,9175,"0x23D7",82,12,2405181685,"0x8F5C28F5",21474836,11
13,9256,"0x2428",81,12,2426656522,"0x90A3D70A",21474837,12
14,9338,"0x247A",82,13,2448131358,"0x91EB851E",21474836,13
15,9420,"0x24CC",82,14,2469606195,"0x93333333",21474837,14
16,9502,"0x251E",82,15,2491081031,"0x947AE147",21474836,15
17,9584,"0x2570",82,16,2512555868,"0x95C28F5C",21474837,17
18,9666,"0x25C2",82,17,2534030704,"0x970A3D70",21474836,17
19,9748,"0x2614",82,18,2555505541,"0x9851EB85",21474837,19
20,9830,"0x2666",82,19,2576980377,"0x99999999",21474836,19
21,9912,"0x26B8",82,20,2598455214,"0x9AE147AE",21474837,21
