Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-200,0,"0x0000",0,-200.000,0.000,-200.000,0.000
-199,41,"0x0029",41,-199.023,0.023,-198.999,-0.001
-198,82,"0x0052",41,-198.022,0.022,-197.998,-0.002
-197,123,"0x007B",41,-197.021,0.021,-196.997,-0.003
-196,164,"0x00A4",41,-196.020,0.020,-195.996,-0.004
-195,205,"0x00CD",41,-195.019,0.019,-194.995,-0.005
-194,246,"0x00F6",41,-194.018,0.018,-193.994,-0.006
-193,287,"0x011F",41,-193.017,0.017,-192.993,-0.007
-192,328,"0x0148",41,-192.016,0.016,-191.992,-0.008
-191,369,"0x0171",41,-191.015,0.015,-190.991,-0.009
-190,410,"0x019A",41,-190.013,0.013,-189.990,-0.010
-189,451,"0x01C3",41,-189.012,0.012,-188.989,-0.011
-188,492,"0x01EC",41,-188.011,0.011,-187.988,-0.012
-187,533,"0x0215",41,-187.035,0.035,-187.012,0.012
-186,574,"0x023E",41,-186.033,0.033,-186.011,0.011
-185,615,"0x0267",41,-185.032,0.032,-185.010,0.010
-184,656,"0x0290",41,-184.031,0.031,-184.009,0.009
-183,697,"0x02B9",41,-183.030,0.030,-183.008,0.008
-182,738,"0x02E2",41,-182.029,0.029,-182.007,0.007
-181,779,"0x030B",41,-181.028,0.028,-181.006,0.006
-180,820,"0x0334",41,-180.027,0.027,-180.005,0.005
-179,861,"0x035D",41,-179.026,0.026,-179.004,0.004
-178,902,"0x0386",41,-178.025,0.025,-178.003,0.003
-177,943,"0x03AF",41,-177.024,0.024,-177.002,0.002
-176,984,"0x03D8",41,-176.022,0.022,-176.001,0.001
-175,1024,"0x0400",40,-175.021,0.021,-175.000,0.000
-174,1065,"0x0429",41,-174.020,0.020,-173.999,-0.001
-173,1106,"0x0452",41,-173.019,0.019,-172.998,-0.002
-172,1147,"0x047B",41,-172.018,0.018,-171.997,-0.003
-171,1188,"0x04A4",41,-171.017,0.017,-170.996,-0.004
-170,1229,"0x04CD",41,-170.016,0.016,-169.995,-0.005
-169,1270,"0x04F6",41,-169.015,0.015,-168.994,-0.006
-168,1311,"0x051F",41,-168.014,0.014,-167.993,-0.007
-167,1352,"0x0548",41,-167.013,0.013,-166.992,-0.008
-166,1393,"0x0571",41,-166.011,0.011,-165.991,-0.009
-165,1434,"0x059A",41,-165.010,0.010,-164.990,-0.010
-164,1475,"0x05C3",41,-164.009,0.009,-163.989,-0.011
