Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-6326,2794,"0x0AEA",1,-6326.554,0.554,-6325.781,-0.219
-6325,2795,"0x0AEB",1,-6325.382,0.382,-6324.609,-0.391
-6324,2796,"0x0AEC",1,-6324.209,0.209,-6323.438,-0.563
-6323,2797,"0x0AED",1,-6323.037,0.037,-6322.266,-0.734
-6322,2798,"0x0AEE",1,-6321.865,-0.135,-6321.094,-0.906
-6321,2799,"0x0AEF",1,-6320.693,-0.307,-6319.922,-1.078
-6320,2799,"0x0AEF",0,-6320.693,0.693,-6319.922,-0.078
-6319,2800,"0x0AF0",1,-6319.521,0.521,-6318.750,-0.250
-6318,2801,"0x0AF1",1,-6318.349,0.349,-6317.578,-0.422
-6317,2802,"0x0AF2",1,-6317.177,0.177,-6316.406,-0.594
-6316,2803,"0x0AF3",1,-6316.005,0.005,-6315.234,-0.766
-6315,2804,"0x0AF4",1,-6314.833,-0.167,-6314.063,-0.938
-6314,2805,"0x0AF5",1,-6313.661,-0.339,-6312.891,-1.109
-6313,2805,"0x0AF5",0,-6313.661,0.661,-6312.891,-0.109
-6312,2806,"0x0AF6",1,-6312.489,0.489,-6311.719,-0.281
-6311,2807,"0x0AF7",1,-6311.317,0.317,-6310.547,-0.453
-6310,2808,"0x0AF8",1,-6310.145,0.145,-6309.375,-0.625
-6309,2809,"0x0AF9",1,-6308.973,-0.027,-6308.203,-0.797
-6308,2810,"0x0AFA",1,-6307.801,-0.199,-6307.031,-0.969
-6307,2811,"0x0AFB",1,-6306.629,-0.371,-6305.859,-1.141
-6306,2811,"0x0AFB",0,-6306.629,0.629,-6305.859,-0.141
-6305,2812,"0x0AFC",1,-6305.457,0.457,-6304.688,-0.313
-6304,2813,"0x0AFD",1,-6304.285,0.285,-6303.516,-0.484
-6303,2814,"0x0AFE",1,-6303.113,0.113,-6302.344,-0.656
-6302,2815,"0x0AFF",1,-6301.941,-0.059,-6301.172,-0.828
-6301,2816,"0x0B00",1,-6300.769,-0.231,-6300.000,-1.000
-6300,2816,"0x0B00",0,-6300.769,0.769,-6300.000,0.000
-6299,2817,"0x0B01",1,-6299.597,0.597,-6298.828,-0.172
-6298,2818,"0x0B02",1,-6298.425,0.425,-6297.656,-0.344
-6297,2819,"0x0B03",1,-6297.253,0.253,-6296.484,-0.516
-6296,2820,"0x0B04",1,-6296.081,0.081,-6295.313,-0.688
-6295,2821,"0x0B05",1,-6294.909,-0.091,-6294.141,-0.859
-6294,2822,"0x0B06",1,-6293.737,-0.263,-6292.969,-1.031
-6293,2822,"0x0B06",0,-6293.737,0.737,-6292.969,-0.031
-6292,2823,"0x0B07",1,-6292.565,0.565,-6291.797,-0.203
-6291,2824,"0x0B08",1,-6291.393,0.393,-6290.625,-0.375
-6290,2825,"0x0B09",1,-6290.221,0.221,-6289.453,-0.547
-6289,2826,"0x0B0A",1,-6289.049,0.049,-6288.281,-0.719
-6288,2827,"0x0B0B",1,-6287.877,-0.123,-6287.109,-0.891
-6287,2828,"0x0B0C",1,-6286.705,-0.295,-6285.938,-1.063
-6286,2828,"0x0B0C",0,-6286.705,0.705,-6285.938,-0.063
-6285,2829,"0x0B0D",1,-6285.533,0.533,-6284.766,-0.234
-6284,2830,"0x0B0E",1,-6284.361,0.361,-6283.594,-0.406
-6283,2831,"0x0B0F",1,-6283.189,0.189,-6282.422,-0.578
-6282,2832,"0x0B10",1,-6282.017,0.017,-6281.250,-0.750
-6281,2833,"0x0B11",1,-6280.845,-0.155,-6280.078,-0.922
-6280,2834,"0x0B12",1,-6279.673,-0.327,-6278.906,-1.094
-6279,2834,"0x0B12",0,-6279.673,0.673,-6278.906,-0.094
-6278,2835,"0x0B13",1,-6278.501,0.501,-6277.734,-0.266
-6277,2836,"0x0B14",1,-6277.329,0.329,-6276.563,-0.438
-6276,2837,"0x0B15",1,-6276.157,0.157,-6275.391,-0.609
-6275,2838,"0x0B16",1,-6274.985,-0.015,-6274.219,-0.781
-6274,2839,"0x0B17",1,-6273.813,-0.187,-6273.047,-0.953
-6273,2840,"0x0B18",1,-6272.641,-0.359,-6271.875,-1.125
-6272,2840,"0x0B18",0,-6272.641,0.641,-6271.875,-0.125
-6271,2841,"0x0B19",1,-6271.469,0.469,-6270.703,-0.297
-6270,2842,"0x0B1A",1,-6270.297,0.297,-6269.531,-0.469
-6269,2843,"0x0B1B",1,-6269.125,0.125,-6268.359,-0.641
-6268,2844,"0x0B1C",1,-6267.953,-0.047,-6267.188,-0.813
-6267,2845,"0x0B1D",1,-6266.781,-0.219,-6266.016,-0.984
-6266,2846,"0x0B1E",1,-6265.609,-0.391,-6264.844,-1.156
-6265,2846,"0x0B1E",0,-6265.609,0.609,-6264.844,-0.156
-6264,2847,"0x0B1F",1,-6264.437,0.437,-6263.672,-0.328
-6263,2848,"0x0B20",1,-6263.265,0.265,-6262.500,-0.500
-6262,2849,"0x0B21",1,-6262.093,0.093,-6261.328,-0.672
-6261,2850,"0x0B22",1,-6260.921,-0.079,-6260.156,-0.844
-6260,2851,"0x0B23",1,-6259.749,-0.251,-6258.984,-1.016
-6259,2851,"0x0B23",0,-6259.749,0.749,-6258.984,-0.016
-6258,2852,"0x0B24",1,-6258.576,0.576,-6257.813,-0.188
-6257,2853,"0x0B25",1,-6257.404,0.404,-6256.641,-0.359
-6256,2854,"0x0B26",1,-6256.232,0.232,-6255.469,-0.531
-6255,2855,"0x0B27",1,-6255.060,0.060,-6254.297,-0.703
-6254,2856,"0x0B28",1,-6253.888,-0.112,-6253.125,-0.875
-6253,2857,"0x0B29",1,-6252.716,-0.284,-6251.953,-1.047
-6252,2857,"0x0B29",0,-6252.716,0.716,-6251.953,-0.047
