Pitch Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch Offset from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch Offset from MIDI2
-1121,540,"0x021C",7,-1121,141376007,"0x086D3A07",1789569,-1121
-1120,547,"0x0223",7,-1120,143165577,"0x08888889",1789570,-1120
-1119,553,"0x0229",6,-1119,144955147,"0x08A3D70B",1789570,-1119
-1118,560,"0x0230",7,-1118,146744716,"0x08BF258C",1789569,-1118
-1117,567,"0x0237",7,-1117,148534286,"0x08DA740E",1789570,-1117
-1116,574,"0x023E",7,-1116,150323856,"0x08F5C290",1789570,-1116
-1115,581,"0x0245",7,-1115,152113426,"0x09111112",1789570,-1114
-1114,588,"0x024C",7,-1114,153902995,"0x092C5F93",1789569,-1114
-1113,594,"0x0252",6,-1113,155692565,"0x0947AE15",1789570,-1113
-1112,601,"0x0259",7,-1112,157482135,"0x0962FC97",1789570,-1112
-1111,608,"0x0260",7,-1111,159271704,"0x097E4B18",1789569,-1111
-1110,615,"0x0267",7,-1110,161061274,"0x0999999A",1789570,-1110
-1109,622,"0x026E",7,-1109,162850844,"0x09B4E81C",1789570,-1109
-1108,629,"0x0275",7,-1107,164640414,"0x09D0369E",1789570,-1107
-1107,635,"0x027B",6,-1107,166429983,"0x09EB851F",1789569,-1107
-1106,642,"0x0282",7,-1106,168219553,"0x0A06D3A1",1789570,-1106
-1105,649,"0x0289",7,-1105,170009123,"0x0A222223",1789570,-1105
-1104,656,"0x0290",7,-1104,171798692,"0x0A3D70A4",1789569,-1104
-1103,663,"0x0297",7,-1103,173588262,"0x0A58BF26",1789570,-1103
-1102,670,"0x029E",7,-1101,175377832,"0x0A740DA8",1789570,-1102
-1101,676,"0x02A4",6,-1101,177167401,"0x0A8F5C29",1789569,-1101
-1100,683,"0x02AB",7,-1100,178956971,"0x0AAAAAAB",1789570,-1100
-1099,690,"0x02B2",7,-1099,180746541,"0x0AC5F92D",1789570,-1099
-1098,697,"0x02B9",7,-1098,182536111,"0x0AE147AF",1789570,-1097
-1097,704,"0x02C0",7,-1097,184325680,"0x0AFC9630",1789569,-1097
-1096,710,"0x02C6",6,-1096,186115250,"0x0B17E4B2",1789570,-1096
-1095,717,"0x02CD",7,-1095,187904820,"0x0B333334",1789570,-1095
-1094,724,"0x02D4",7,-1094,189694389,"0x0B4E81B5",1789569,-1094
-1093,731,"0x02DB",7,-1093,191483959,"0x0B69D037",1789570,-1093
-1092,738,"0x02E2",7,-1092,193273529,"0x0B851EB9",1789570,-1092
-1091,745,"0x02E9",7,-1091,195063099,"0x0BA06D3B",1789570,-1090
-1090,751,"0x02EF",6,-1090,196852668,"0x0BBBBBBC",1789569,-1090
-1089,758,"0x02F6",7,-1089,198642238,"0x0BD70A3E",1789570,-1089
-1088,765,"0x02FD",7,-1088,200431808,"0x0BF258C0",1789570,-1088
-1087,772,"0x0304",7,-1087,202221377,"0x0C0DA741",1789569,-1087
-1086,779,"0x030B",7,-1086,204010947,"0x0C28F5C3",1789570,-1086
